	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	0.8
1	def_sap	0.0	20.0	20.0	IsA	10.0	0.0	0.0	10.0	20.0	10.0	20.0	7.8	0.8
2	lsp_sap	40.0	40.0	80.0	IsA	45.300000000000004	40.0	40.0	40.0	40.0	45.300000000000004	80.0	7.8	0.8
3	sentence_dap	0.0	0.0	0.0	IsA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	0.8
4	def_dap	0.0	20.0	20.0	IsA	10.0	0.0	0.0	10.0	20.0	10.0	20.0	7.8	0.8
5	lsp_dap	40.0	40.0	60.0	IsA	42.5	40.0	40.0	40.0	40.0	42.5	60.0	7.8	0.8
6	def_sap_uniform	0.0	20.0	20.0	IsA	10.0	0.0	0.0	10.0	20.0	10.0	20.0	7.8	0.8
7	lsp_sap_uniform	40.0	40.0	80.0	IsA	45.300000000000004	40.0	40.0	40.0	40.0	45.300000000000004	80.0	7.8	0.8
8	def_dap_uniform	0.0	20.0	20.0	IsA	10.0	0.0	0.0	10.0	20.0	10.0	20.0	7.8	0.8
9	lsp_dap_uniform	40.0	40.0	60.0	IsA	42.5	40.0	40.0	40.0	40.0	42.5	60.0	7.8	0.8
