	mask_type	p@1	p@5	p@10	relation	mrr	mAP@1	recall@1	mAP@5	recall@5	mAP@10	recall@10	anchor_wordnet_avg_path	anchor_wordnet_coverage
0	sentence	27.6	54.2	63.2	IsA	39.0	27.6	16.3	37.5	31.2	38.1	36.9	10.16	0.822
1	def_sap	13.5	41.0	50.9	IsA	24.7	13.5	7.9	23.400000000000002	23.5	24.7	29.2	10.16	0.822
2	lsp_sap	20.5	41.5	52.800000000000004	IsA	29.7	20.5	11.5	26.6	30.9	26.5	43.1	10.16	0.822
3	sentence_dap	25.900000000000002	43.4	53.1	IsA	34.2	25.900000000000002	14.099999999999998	32.9	23.5	33.900000000000006	29.299999999999997	10.16	0.822
4	def_dap	12.5	33.300000000000004	41.099999999999994	IsA	21.7	12.5	6.6000000000000005	20.7	17.9	21.7	22.0	10.16	0.822
5	lsp_dap	25.900000000000002	44.1	51.4	IsA	33.300000000000004	25.900000000000002	13.900000000000002	30.7	33.1	30.7	41.9	10.16	0.822
6	def_sap_uniform	13.5	41.0	50.9	IsA	24.7	13.5	7.9	23.400000000000002	23.5	24.7	29.2	10.16	0.822
7	lsp_sap_uniform	20.5	41.5	52.800000000000004	IsA	29.7	20.5	11.5	23.5	22.900000000000002	22.6	29.4	10.16	0.822
8	def_dap_uniform	12.5	33.300000000000004	41.099999999999994	IsA	21.7	12.5	6.6000000000000005	20.7	17.9	21.7	22.0	10.16	0.822
9	lsp_dap_uniform	26.0	44.4	52.1	IsA	33.6	26.0	14.099999999999998	27.6	23.5	26.6	27.700000000000003	10.16	0.822
